16.628 0
32.593 33.3333
31.292 66.6667
29.965 100
29.096 133.333
27.912 166.667
27.027 200
26.202 233.333
25.645 266.667
24.63 300
23.692 333.333
22.963 366.667
22.444 400
21.63 433.333
20.854 466.667
20.368 500
19.731 533.333
19.086 566.667
18.464 600
17.813 633.333
16.987 666.667
16.653 700
16.04 733.333
15.663 766.667
14.801 800
14.324 833.333
14.136 866.667
13.731 900
13.035 933.333
12.708 966.667
12.284 1000
11.835 1033.33
11.488 1066.67
11.29 1100
10.615 1133.33
10.302 1166.67
9.939 1200
10.025 1233.33
9.341 1266.67
9.052 1300
8.558 1333.33
8.515 1366.67
8.151 1400
7.879 1433.33
7.677 1466.67
7.377 1500
7.265 1533.33
7.037 1566.67
6.898 1600
6.469 1633.33
6.345 1666.67
6.007 1700
5.707 1733.33
5.889 1766.67
5.596 1800
5.318 1833.33
5.21 1866.67
4.979 1900
4.908 1933.33
4.649 1966.67
4.471 2000
4.276 2033.33
4.278 2066.67
4.095 2100
3.938 2133.33
3.791 2166.67
3.783 2200
3.556 2233.33
3.442 2266.67
3.309 2300
3.226 2333.33
3.157 2366.67
2.946 2400
2.851 2433.33
2.863 2466.67
2.737 2500
2.746 2533.33
2.622 2566.67
2.467 2600
2.375 2633.33
2.235 2666.67
2.238 2700
2.186 2733.33
2.044 2766.67
1.997 2800
1.93 2833.33
1.851 2866.67
1.817 2900
1.762 2933.33
1.66 2966.67
1.638 3000
1.619 3033.33
1.538 3066.67
1.495 3100
1.456 3133.33
1.413 3166.67
1.31 3200
1.319 3233.33
1.289 3266.67
1.183 3300
1.182 3333.33
1.123 3366.67
1.109 3400
1.092 3433.33
1.014 3466.67
1.02 3500
0.95 3533.33
0.978 3566.67
0.935 3600
0.894 3633.33
0.806 3666.67
0.829 3700
0.769 3733.33
0.8 3766.67
0.732 3800
0.72 3833.33
0.746 3866.67
0.711 3900
0.686 3933.33
0.593 3966.67
0.606 4000
0.558 4033.33
0.553 4066.67
0.568 4100
0.51 4133.33
0.542 4166.67
0.466 4200
0.504 4233.33
0.495 4266.67
0.469 4300
0.421 4333.33
0.421 4366.67
0.402 4400
0.407 4433.33
0.399 4466.67
0.39 4500
0.352 4533.33
0.332 4566.67
0.316 4600
0.322 4633.33
0.352 4666.67
0.299 4700
0.27 4733.33
0.274 4766.67
0.28 4800
0.28 4833.33
0.277 4866.67
0.233 4900
0.236 4933.33
0.222 4966.67
0.233 5000
0.24 5033.33
0.195 5066.67
0.193 5100
0.187 5133.33
0.177 5166.67
0.189 5200
0.175 5233.33
0.157 5266.67
0.192 5300
0.185 5333.33
0.18 5366.67
0.164 5400
0.132 5433.33
0.144 5466.67
0.147 5500
0.117 5533.33
0.149 5566.67
0.123 5600
0.121 5633.33
0.113 5666.67
0.109 5700
0.099 5733.33
0.108 5766.67
0.091 5800
0.096 5833.33
0.109 5866.67
0.078 5900
0.09 5933.33
0.091 5966.67
0.076 6000
0.086 6033.33
0.071 6066.67
0.075 6100
0.07 6133.33
0.054 6166.67
0.085 6200
0.075 6233.33
0.072 6266.67
0.06 6300
0.058 6333.33
0.068 6366.67
0.045 6400
0.072 6433.33
0.052 6466.67
0.054 6500
0.043 6533.33
0.044 6566.67
0.051 6600
0.039 6633.33
0.038 6666.67
0.046 6700
0.043 6733.33
0.041 6766.67
0.046 6800
0.028 6833.33
0.048 6866.67
0.033 6900
0.029 6933.33
0.021 6966.67
0.032 7000
0.038 7033.33
0.023 7066.67
0.021 7100
0.032 7133.33
0.026 7166.67
0.025 7200
0.022 7233.33
0.028 7266.67
0.024 7300
0.026 7333.33
0.021 7366.67
0.013 7400
0.016 7433.33
0.019 7466.67
0.017 7500
0.016 7533.33
0.013 7566.67
0.015 7600
0.01 7633.33
0.01 7666.67
0.014 7700
0.011 7733.33
0.018 7766.67
0.013 7800
0.015 7833.33
0.013 7866.67
0.014 7900
0.01 7933.33
0.011 7966.67
0.01 8000
0.008 8033.33
0.007 8066.67
0.01 8100
0.013 8133.33
0.005 8166.67
0.009 8200
0.014 8233.33
0.007 8266.67
0.008 8300
0.009 8333.33
0.011 8366.67
0.003 8400
0.011 8433.33
0.007 8466.67
0.005 8500
0.011 8533.33
0.012 8566.67
0.007 8600
0.006 8633.33
0.006 8666.67
0.005 8700
0.004 8733.33
0.003 8766.67
0.006 8800
0.006 8833.33
0.004 8866.67
0.006 8900
0.003 8933.33
0.002 8966.67
0.006 9000
0.003 9033.33
0.004 9066.67
0.003 9100
0.005 9133.33
0.004 9166.67
0.001 9200
0.002 9233.33
0.005 9266.67
0.004 9300
0.003 9333.33
0.002 9366.67
0.002 9400
0.004 9433.33
0 9466.67
0.005 9500
0.002 9533.33
0.001 9566.67
0 9600
0.001 9633.33
0.001 9666.67
0.003 9700
0.003 9733.33
0.002 9766.67
0.004 9800
0.004 9833.33
0 9866.67
0.001 9900
0.003 9933.33
0.001 9966.67
0 10000
0.002 10033.3
0.003 10066.7
0 10100
0.002 10133.3
0 10166.7
0.001 10200
0.001 10233.3
0.002 10266.7
0.001 10300
0 10333.3
0.003 10366.7
0.002 10400
0.001 10433.3
0.002 10466.7
0.001 10500
0 10533.3
0.002 10566.7
0.001 10600
0 10633.3
0.002 10666.7
0.002 10700
0 10733.3
0.001 10766.7
0 10800
0.002 10833.3
0.001 10866.7
0.001 10900
0.001 10933.3
0.001 10966.7
0.001 11000
0 11033.3
0 11066.7
0 11100
0.002 11133.3
0.001 11166.7
0 11200
0 11233.3
0.001 11266.7
0 11300
0 11333.3
0 11366.7
0 11400
0.001 11433.3
0 11466.7
0 11500
0.001 11533.3
0 11566.7
0.001 11600
0.001 11633.3
0 11666.7
0.001 11700
0.001 11733.3
0 11766.7
0.001 11800
0.002 11833.3
0 11866.7
0 11900
0 11933.3
0 11966.7
0 12000
0.001 12033.3
0 12066.7
0 12100
0 12133.3
0 12166.7
0.001 12200
0 12233.3
0 12266.7
0 12300
0 12333.3
0 12366.7
0 12400
0.001 12433.3
0 12466.7
0.001 12500
0.002 12533.3
0 12566.7
0 12600
0 12633.3
0 12666.7
0 12700
0.001 12733.3
0 12766.7
0 12800
0.001 12833.3
0 12866.7
0 12900
0 12933.3
0.001 12966.7
0 13000
0 13033.3
0 13066.7
0 13100
0 13133.3
0 13166.7
0 13200
0 13233.3
0 13266.7
0 13300
0 13333.3
0 13366.7
0 13400
0 13433.3
0 13466.7
0 13500
0 13533.3
0 13566.7
0 13600
0 13633.3
0 13666.7
0 13700
0 13733.3
0 13766.7
0 13800
0 13833.3
0 13866.7
0 13900
0 13933.3
0 13966.7
0 14000
0 14033.3
0 14066.7
0 14100
0 14133.3
0 14166.7
0 14200
0 14233.3
0 14266.7
0 14300
0 14333.3
0 14366.7
0 14400
0 14433.3
0 14466.7
0 14500
0 14533.3
0 14566.7
